seed,fold,epoch,g_physics,g_esm
2026,2,23,0.5110920667648315,0.8130524754524231
2026,2,24,0.5138380527496338,0.8117364645004272
2026,2,25,0.4668576717376709,0.8152719140052795
2026,2,26,0.4705101251602173,0.80124431848526
2026,2,27,0.45819994807243347,0.7860933542251587
2026,2,28,0.44690313935279846,0.7762033939361572
2026,2,29,0.43779340386390686,0.7605482935905457
2026,2,30,0.4470587968826294,0.7711755037307739
2026,2,31,0.43781521916389465,0.7491438388824463
2026,2,32,0.41247954964637756,0.7529398202896118
2026,2,33,0.39093074202537537,0.7437079548835754
2026,2,34,0.4003852307796478,0.740841269493103
2026,2,35,0.3747517168521881,0.7318748235702515
2026,2,36,0.3593609929084778,0.7306619882583618
2026,2,37,0.3496822714805603,0.721360981464386
2026,2,38,0.37177345156669617,0.6968618631362915
2026,2,39,0.36394867300987244,0.6907454133033752
2026,2,40,0.3542441427707672,0.6857802867889404
2026,2,41,0.36836016178131104,0.6849221587181091
2026,2,42,0.36193469166755676,0.6565893292427063
2026,2,43,0.3389960825443268,0.6672674417495728
2026,2,44,0.3432108461856842,0.6708163022994995
2026,2,45,0.3180122673511505,0.6719594597816467
2026,2,46,0.31167885661125183,0.6887839436531067
2026,2,47,0.3401308059692383,0.6806456446647644
2026,2,48,0.33237162232398987,0.6795297861099243
2026,2,49,0.31400930881500244,0.6760395169258118
2026,3,0,0.4919074475765228,0.5149996280670166
2026,3,1,0.5002130270004272,0.5154428482055664
2026,3,2,0.5005952715873718,0.5123690366744995
2026,3,3,0.4986084997653961,0.5159245729446411
2026,3,4,0.4955049157142639,0.5219135284423828
2026,3,5,0.4947839379310608,0.5229096412658691
2026,3,6,0.494645893573761,0.5313190817832947
2026,3,7,0.49328920245170593,0.5451871752738953
2026,3,8,0.49293282628059387,0.5563974380493164
2026,3,9,0.48746034502983093,0.5812837481498718
2026,3,10,0.4994909465312958,0.5917540192604065
2026,3,11,0.5073243975639343,0.6073986887931824
2026,3,12,0.5004482269287109,0.6288811564445496
2026,3,13,0.509161114692688,0.6549329161643982
2026,3,14,0.510257363319397,0.6785166263580322
2026,3,15,0.5129358172416687,0.7055202722549438
2026,3,16,0.5170313119888306,0.7183058261871338
2026,3,17,0.5147157311439514,0.7508538961410522
2026,3,18,0.5123676061630249,0.7541077733039856
2026,3,19,0.5286543369293213,0.7706946134567261
2026,3,20,0.5220842957496643,0.7767959237098694
2026,3,21,0.5280027985572815,0.7996520400047302
2026,3,22,0.5420039892196655,0.8094796538352966
2026,3,23,0.5322050452232361,0.8090057373046875
2026,3,24,0.5219749808311462,0.8083705902099609
2026,3,25,0.5237668752670288,0.7994097471237183
2026,3,26,0.4839812219142914,0.8024175763130188
2026,3,27,0.4360246956348419,0.8126241564750671
2026,3,28,0.4386776089668274,0.8015367984771729
2026,3,29,0.41063085198402405,0.7923198938369751
2026,3,30,0.43889203667640686,0.7948107719421387
2026,3,31,0.4134916067123413,0.7828184962272644
2026,3,32,0.41924014687538147,0.766776978969574
2026,3,33,0.41302141547203064,0.754386305809021
2026,3,34,0.41228869557380676,0.7393835783004761
2026,3,35,0.4079953134059906,0.7534390687942505
2026,3,36,0.39342620968818665,0.7333873510360718
2026,3,37,0.3594886064529419,0.737670361995697
2026,3,38,0.35655754804611206,0.7456661462783813
2026,3,39,0.3930252492427826,0.7541295289993286
2026,3,40,0.392748087644577,0.7209797501564026
